Year,Week,resort,visitors
2014,1,Charlotte Pass,408.0
2014,1,Falls Creek,2790.0
2014,1,Mt. Baw Baw,555.0
2014,1,Mt. Buller,8296.0
2014,1,Mt. Hotham,3483.0
2014,1,Mt. Stirling,60.0
2014,1,Perisher,7370.0
2014,1,Selwyn,1041.0
2014,1,Thredbo,5535.0
2014,2,Charlotte Pass,151.0
2014,2,Falls Creek,1425.0
2014,2,Mt. Baw Baw,804.0
2014,2,Mt. Buller,1987.0
2014,2,Mt. Hotham,1253.0
2014,2,Mt. Stirling,42.0
2014,2,Perisher,2751.0
2014,2,Selwyn,383.0
2014,2,Thredbo,2090.0
2014,3,Charlotte Pass,230.0
2014,3,Falls Creek,2101.0
2014,3,Mt. Baw Baw,993.0
2014,3,Mt. Buller,2413.0
2014,3,Mt. Hotham,2992.0
2014,3,Mt. Stirling,30.0
2014,3,Perisher,4255.0
2014,3,Selwyn,597.0
2014,3,Thredbo,3216.0
2014,4,Charlotte Pass,1134.0
2014,4,Falls Creek,9544.0
2014,4,Mt. Baw Baw,2976.0
2014,4,Mt. Buller,18831.0
2014,4,Mt. Hotham,9680.0
2014,4,Mt. Stirling,165.0
2014,4,Perisher,20265.0
2014,4,Selwyn,2877.0
2014,4,Thredbo,15497.0
2014,5,Charlotte Pass,3403.0
2014,5,Falls Creek,26211.0
2014,5,Mt. Baw Baw,11112.0
2014,5,Mt. Buller,49217.0
2014,5,Mt. Hotham,29628.0
2014,5,Mt. Stirling,645.0
2014,5,Perisher,61339.0
2014,5,Selwyn,8588.0
2014,5,Thredbo,46546.0
2014,6,Charlotte Pass,4305.0
2014,6,Falls Creek,33392.0
2014,6,Mt. Baw Baw,13381.0
2014,6,Mt. Buller,59693.0
2014,6,Mt. Hotham,36665.0
2014,6,Mt. Stirling,1316.0
2014,6,Perisher,76855.0
2014,6,Selwyn,10682.0
2014,6,Thredbo,58668.0
2014,7,Charlotte Pass,3236.0
2014,7,Falls Creek,28149.0
2014,7,Mt. Baw Baw,8832.0
2014,7,Mt. Buller,45788.0
2014,7,Mt. Hotham,26465.0
2014,7,Mt. Stirling,684.0
2014,7,Perisher,57593.0
2014,7,Selwyn,8180.0
2014,7,Thredbo,44109.0
2014,8,Charlotte Pass,2901.0
2014,8,Falls Creek,24565.0
2014,8,Mt. Baw Baw,9347.0
2014,8,Mt. Buller,41720.0
2014,8,Mt. Hotham,21679.0
2014,8,Mt. Stirling,1250.0
2014,8,Perisher,52426.0
2014,8,Selwyn,7267.0
2014,8,Thredbo,39654.0
2014,9,Charlotte Pass,3391.0
2014,9,Falls Creek,28981.0
2014,9,Mt. Baw Baw,10071.0
2014,9,Mt. Buller,48984.0
2014,9,Mt. Hotham,31019.0
2014,9,Mt. Stirling,1280.0
2014,9,Perisher,62654.0
2014,9,Selwyn,8708.0
2014,9,Thredbo,46875.0
2014,10,Charlotte Pass,3549.0
2014,10,Falls Creek,33125.0
2014,10,Mt. Baw Baw,11071.0
2014,10,Mt. Buller,47315.0
2014,10,Mt. Hotham,30360.0
2014,10,Mt. Stirling,1653.0
2014,10,Perisher,64928.0
2014,10,Selwyn,9133.0
2014,10,Thredbo,48777.0
2014,11,Charlotte Pass,3608.0
2014,11,Falls Creek,36486.0
2014,11,Mt. Baw Baw,10079.0
2014,11,Mt. Buller,43314.0
2014,11,Mt. Hotham,35923.0
2014,11,Mt. Stirling,902.0
2014,11,Perisher,64834.0
2014,11,Selwyn,8968.0
2014,11,Thredbo,49003.0
2014,12,Charlotte Pass,3258.0
2014,12,Falls Creek,34468.0
2014,12,Mt. Baw Baw,7635.0
2014,12,Mt. Buller,41063.0
2014,12,Mt. Hotham,32657.0
2014,12,Mt. Stirling,847.0
2014,12,Perisher,59121.0
2014,12,Selwyn,8404.0
2014,12,Thredbo,44164.0
2014,13,Charlotte Pass,2837.0
2014,13,Falls Creek,30104.0
2014,13,Mt. Baw Baw,4681.0
2014,13,Mt. Buller,41063.0
2014,13,Mt. Hotham,28855.0
2014,13,Mt. Stirling,522.0
2014,13,Perisher,50737.0
2014,13,Selwyn,6975.0
2014,13,Thredbo,38470.0
2014,14,Charlotte Pass,1898.0
2014,14,Falls Creek,23864.0
2014,14,Mt. Baw Baw,1904.0
2014,14,Mt. Buller,26222.0
2014,14,Mt. Hotham,18708.0
2014,14,Mt. Stirling,267.0
2014,14,Perisher,33833.0
2014,14,Selwyn,4628.0
2014,14,Thredbo,25734.0
2014,15,Charlotte Pass,995.0
2014,15,Falls Creek,15869.0
2014,15,Mt. Baw Baw,3292.5
2014,15,Mt. Buller,11881.0
2014,15,Mt. Hotham,11117.0
2014,15,Mt. Stirling,66.0
2014,15,Perisher,18381.0
2014,15,Selwyn,2566.0
2014,15,Thredbo,13890.0
2015,1,Charlotte Pass,892.0
2015,1,Falls Creek,4799.0
2015,1,Mt. Baw Baw,3185.0
2015,1,Mt. Buller,15612.0
2015,1,Mt. Hotham,4997.0
2015,1,Mt. Stirling,39.0
2015,1,Perisher,15906.0
2015,1,Selwyn,2238.0
2015,1,Thredbo,12039.0
2015,2,Charlotte Pass,405.0
2015,2,Falls Creek,3293.0
2015,2,Mt. Baw Baw,2058.0
2015,2,Mt. Buller,6592.0
2015,2,Mt. Hotham,1797.0
2015,2,Mt. Stirling,63.0
2015,2,Perisher,7363.0
2015,2,Selwyn,1001.0
2015,2,Thredbo,5540.0
2015,3,Charlotte Pass,501.0
2015,3,Falls Creek,5965.0
2015,3,Mt. Baw Baw,1745.0
2015,3,Mt. Buller,6648.0
2015,3,Mt. Hotham,3605.0
2015,3,Mt. Stirling,51.0
2015,3,Perisher,9360.0
2015,3,Selwyn,1331.0
2015,3,Thredbo,7069.0
2015,4,Charlotte Pass,1303.0
2015,4,Falls Creek,11758.0
2015,4,Mt. Baw Baw,2751.0
2015,4,Mt. Buller,18766.0
2015,4,Mt. Hotham,13197.0
2015,4,Mt. Stirling,27.0
2015,4,Perisher,23296.0
2015,4,Selwyn,3211.0
2015,4,Thredbo,17634.0
2015,5,Charlotte Pass,2645.0
2015,5,Falls Creek,20779.0
2015,5,Mt. Baw Baw,6748.0
2015,5,Mt. Buller,38879.0
2015,5,Mt. Hotham,22318.0
2015,5,Mt. Stirling,69.0
2015,5,Perisher,47607.0
2015,5,Selwyn,6658.0
2015,5,Thredbo,35918.0
2015,6,Charlotte Pass,3211.0
2015,6,Falls Creek,24064.0
2015,6,Mt. Baw Baw,8269.0
2015,6,Mt. Buller,45629.0
2015,6,Mt. Hotham,27894.0
2015,6,Mt. Stirling,240.0
2015,6,Perisher,57282.0
2015,6,Selwyn,8112.0
2015,6,Thredbo,43234.0
2015,7,Charlotte Pass,2996.0
2015,7,Falls Creek,27566.0
2015,7,Mt. Baw Baw,8219.0
2015,7,Mt. Buller,38873.0
2015,7,Mt. Hotham,22620.0
2015,7,Mt. Stirling,714.0
2015,7,Perisher,54202.0
2015,7,Selwyn,7373.0
2015,7,Thredbo,40967.0
2015,8,Charlotte Pass,2661.0
2015,8,Falls Creek,25955.0
2015,8,Mt. Baw Baw,8600.0
2015,8,Mt. Buller,36714.0
2015,8,Mt. Hotham,17562.0
2015,8,Mt. Stirling,558.0
2015,8,Perisher,48170.0
2015,8,Selwyn,6601.0
2015,8,Thredbo,36200.0
2015,9,Charlotte Pass,3148.0
2015,9,Falls Creek,31872.0
2015,9,Mt. Baw Baw,8932.0
2015,9,Mt. Buller,38171.0
2015,9,Mt. Hotham,27850.0
2015,9,Mt. Stirling,1218.0
2015,9,Perisher,57548.0
2015,9,Selwyn,7983.0
2015,9,Thredbo,43268.0
2015,10,Charlotte Pass,3473.0
2015,10,Falls Creek,35417.0
2015,10,Mt. Baw Baw,10429.0
2015,10,Mt. Buller,41782.0
2015,10,Mt. Hotham,31159.0
2015,10,Mt. Stirling,1371.0
2015,10,Perisher,64346.0
2015,10,Selwyn,9023.0
2015,10,Thredbo,48525.0
2015,11,Charlotte Pass,3719.0
2015,11,Falls Creek,37063.0
2015,11,Mt. Baw Baw,10927.0
2015,11,Mt. Buller,44060.0
2015,11,Mt. Hotham,35122.0
2015,11,Mt. Stirling,1146.0
2015,11,Perisher,68527.0
2015,11,Selwyn,9492.0
2015,11,Thredbo,51900.0
2015,12,Charlotte Pass,3358.0
2015,12,Falls Creek,36903.0
2015,12,Mt. Baw Baw,9027.0
2015,12,Mt. Buller,38823.0
2015,12,Mt. Hotham,30754.0
2015,12,Mt. Stirling,744.0
2015,12,Perisher,60788.0
2015,12,Selwyn,8436.0
2015,12,Thredbo,46015.0
2015,13,Charlotte Pass,2909.0
2015,13,Falls Creek,33126.0
2015,13,Mt. Baw Baw,6236.0
2015,13,Mt. Buller,38042.0
2015,13,Mt. Hotham,25367.0
2015,13,Mt. Stirling,618.0
2015,13,Perisher,52337.0
2015,13,Selwyn,7256.0
2015,13,Thredbo,39850.0
2015,14,Charlotte Pass,2403.0
2015,14,Falls Creek,28099.0
2015,14,Mt. Baw Baw,4387.0
2015,14,Mt. Buller,23919.0
2015,14,Mt. Hotham,30754.0
2015,14,Mt. Stirling,429.0
2015,14,Perisher,43826.0
2015,14,Selwyn,6011.0
2015,14,Thredbo,33284.0
2015,15,Charlotte Pass,1492.0
2015,15,Falls Creek,18548.0
2015,15,Mt. Baw Baw,2247.0
2015,15,Mt. Buller,21892.0
2015,15,Mt. Hotham,12005.0
2015,15,Mt. Stirling,249.0
2015,15,Perisher,27009.0
2015,15,Selwyn,3722.0
2015,15,Thredbo,20568.0
2016,1,Charlotte Pass,531.0
2016,1,Falls Creek,3840.0
2016,1,Mt. Baw Baw,1154.0
2016,1,Mt. Buller,8368.0
2016,1,Mt. Hotham,4590.0
2016,1,Mt. Stirling,39.0
2016,1,Perisher,9419.0
2016,1,Selwyn,1329.0
2016,1,Thredbo,7167.0
2016,2,Charlotte Pass,301.0
2016,2,Falls Creek,2176.0
2016,2,Mt. Baw Baw,1298.0
2016,2,Mt. Buller,5298.0
2016,2,Mt. Hotham,1860.0
2016,2,Mt. Stirling,36.0
2016,2,Perisher,5380.0
2016,2,Selwyn,764.0
2016,2,Thredbo,4083.0
2016,3,Charlotte Pass,1096.0
2016,3,Falls Creek,10297.0
2016,3,Mt. Baw Baw,2306.0
2016,3,Mt. Buller,17606.0
2016,3,Mt. Hotham,8368.0
2016,3,Mt. Stirling,186.0
2016,3,Perisher,20567.0
2016,3,Selwyn,2903.0
2016,3,Thredbo,15501.0
2016,4,Charlotte Pass,2705.0
2016,4,Falls Creek,23077.0
2016,4,Mt. Baw Baw,8796.0
2016,4,Mt. Buller,37586.0
2016,4,Mt. Hotham,17433.0
2016,4,Mt. Stirling,480.0
2016,4,Perisher,49193.0
2016,4,Selwyn,6868.0
2016,4,Thredbo,36917.0
2016,5,Charlotte Pass,3570.0
2016,5,Falls Creek,33309.0
2016,5,Mt. Baw Baw,7976.0
2016,5,Mt. Buller,56664.0
2016,5,Mt. Hotham,21302.0
2016,5,Mt. Stirling,711.0
2016,5,Perisher,64386.0
2016,5,Selwyn,9151.0
2016,5,Thredbo,48170.0
2016,6,Charlotte Pass,3316.0
2016,6,Falls Creek,38818.0
2016,6,Mt. Baw Baw,6614.0
2016,6,Mt. Buller,44445.0
2016,6,Mt. Hotham,25173.0
2016,6,Mt. Stirling,840.0
2016,6,Perisher,61295.0
2016,6,Selwyn,8336.0
2016,6,Thredbo,45940.0
2016,7,Charlotte Pass,2689.0
2016,7,Falls Creek,30873.0
2016,7,Mt. Baw Baw,5267.0
2016,7,Mt. Buller,37928.0
2016,7,Mt. Hotham,20774.0
2016,7,Mt. Stirling,694.0
2016,7,Perisher,48984.0
2016,7,Selwyn,6817.0
2016,7,Thredbo,37172.0
2016,8,Charlotte Pass,3038.0
2016,8,Falls Creek,36692.0
2016,8,Mt. Baw Baw,6394.0
2016,8,Mt. Buller,39125.0
2016,8,Mt. Hotham,19557.0
2016,8,Mt. Stirling,1326.0
2016,8,Perisher,55233.0
2016,8,Selwyn,7706.0
2016,8,Thredbo,41911.0
2016,9,Charlotte Pass,3384.0
2016,9,Falls Creek,40090.0
2016,9,Mt. Baw Baw,6676.0
2016,9,Mt. Buller,46055.0
2016,9,Mt. Hotham,27232.0
2016,9,Mt. Stirling,1122.0
2016,9,Perisher,63067.0
2016,9,Selwyn,8763.0
2016,9,Thredbo,47536.0
2016,10,Charlotte Pass,3549.0
2016,10,Falls Creek,43213.0
2016,10,Mt. Baw Baw,5593.0
2016,10,Mt. Buller,44706.0
2016,10,Mt. Hotham,28044.0
2016,10,Mt. Stirling,1149.0
2016,10,Perisher,62748.0
2016,10,Selwyn,8848.0
2016,10,Thredbo,47996.0
2016,11,Charlotte Pass,3259.0
2016,11,Falls Creek,43213.0
2016,11,Mt. Baw Baw,3979.0
2016,11,Mt. Buller,38065.0
2016,11,Mt. Hotham,31774.0
2016,11,Mt. Stirling,708.0
2016,11,Perisher,57827.0
2016,11,Selwyn,8235.0
2016,11,Thredbo,43729.0
2016,12,Charlotte Pass,2951.0
2016,12,Falls Creek,43275.0
2016,12,Mt. Baw Baw,3909.0
2016,12,Mt. Buller,34449.0
2016,12,Mt. Hotham,28211.0
2016,12,Mt. Stirling,735.0
2016,12,Perisher,54481.0
2016,12,Selwyn,7678.0
2016,12,Thredbo,41768.0
2016,13,Charlotte Pass,2070.0
2016,13,Falls Creek,33724.0
2016,13,Mt. Baw Baw,1373.0
2016,13,Mt. Buller,21929.0
2016,13,Mt. Hotham,20295.0
2016,13,Mt. Stirling,198.0
2016,13,Perisher,37561.0
2016,13,Selwyn,5307.0
2016,13,Thredbo,28580.0
2016,14,Charlotte Pass,1385.0
2016,14,Falls Creek,24144.0
2016,14,Mt. Baw Baw,5311.5
2016,14,Mt. Buller,13075.0
2016,14,Mt. Hotham,14224.0
2016,14,Mt. Stirling,102.0
2016,14,Perisher,24737.0
2016,14,Selwyn,3453.0
2016,14,Thredbo,18938.0
2016,15,Charlotte Pass,979.0
2016,15,Falls Creek,19696.0
2016,15,Mt. Baw Baw,3317.0
2016,15,Mt. Buller,7411.0
2016,15,Mt. Hotham,10134.0
2016,15,Mt. Stirling,87.0
2016,15,Perisher,18080.0
2016,15,Selwyn,2599.0
2016,15,Thredbo,13868.0
2017,1,Charlotte Pass,1030.0
2017,1,Falls Creek,5663.0
2017,1,Mt. Baw Baw,3569.0
2017,1,Mt. Buller,18142.0
2017,1,Mt. Hotham,6288.0
2017,1,Mt. Stirling,96.0
2017,1,Perisher,18739.0
2017,1,Selwyn,2569.0
2017,1,Thredbo,14174.0
2017,2,Charlotte Pass,478.0
2017,2,Falls Creek,3577.0
2017,2,Mt. Baw Baw,798.0
2017,2,Mt. Buller,9023.0
2017,2,Mt. Hotham,2644.0
2017,2,Mt. Stirling,33.0
2017,2,Perisher,8792.0
2017,2,Selwyn,1236.0
2017,2,Thredbo,6636.0
2017,3,Charlotte Pass,842.0
2017,3,Falls Creek,7935.0
2017,3,Mt. Baw Baw,846.0
2017,3,Mt. Buller,13836.0
2017,3,Mt. Hotham,5756.0
2017,3,Mt. Stirling,72.0
2017,3,Perisher,15236.0
2017,3,Selwyn,2180.0
2017,3,Thredbo,11543.0
2017,4,Charlotte Pass,1923.0
2017,4,Falls Creek,16182.0
2017,4,Mt. Baw Baw,3486.0
2017,4,Mt. Buller,26972.0
2017,4,Mt. Hotham,17281.0
2017,4,Mt. Stirling,132.0
2017,4,Perisher,34802.0
2017,4,Selwyn,4933.0
2017,4,Thredbo,26374.0
2017,5,Charlotte Pass,3523.0
2017,5,Falls Creek,30745.0
2017,5,Mt. Baw Baw,5981.0
2017,5,Mt. Buller,50070.0
2017,5,Mt. Hotham,29573.0
2017,5,Mt. Stirling,162.0
2017,5,Perisher,64376.0
2017,5,Selwyn,8953.0
2017,5,Thredbo,49289.0
2017,6,Charlotte Pass,4189.0
2017,6,Falls Creek,38180.0
2017,6,Mt. Baw Baw,9132.0
2017,6,Mt. Buller,57787.0
2017,6,Mt. Hotham,33467.0
2017,6,Mt. Stirling,387.0
2017,6,Perisher,76620.0
2017,6,Selwyn,10860.0
2017,6,Thredbo,58279.0
2017,7,Charlotte Pass,3031.0
2017,7,Falls Creek,30541.0
2017,7,Mt. Baw Baw,7286.0
2017,7,Mt. Buller,40050.0
2017,7,Mt. Hotham,23812.0
2017,7,Mt. Stirling,962.0
2017,7,Perisher,56369.0
2017,7,Selwyn,7768.0
2017,7,Thredbo,42457.0
2017,8,Charlotte Pass,2928.0
2017,8,Falls Creek,29332.0
2017,8,Mt. Baw Baw,5799.0
2017,8,Mt. Buller,37535.0
2017,8,Mt. Hotham,25596.0
2017,8,Mt. Stirling,702.0
2017,8,Perisher,53570.0
2017,8,Selwyn,7398.0
2017,8,Thredbo,40744.0
2017,9,Charlotte Pass,3290.0
2017,9,Falls Creek,34784.0
2017,9,Mt. Baw Baw,5331.0
2017,9,Mt. Buller,39778.0
2017,9,Mt. Hotham,29214.0
2017,9,Mt. Stirling,1176.0
2017,9,Perisher,60063.0
2017,9,Selwyn,8341.0
2017,9,Thredbo,45216.0
2017,10,Charlotte Pass,4046.0
2017,10,Falls Creek,39838.0
2017,10,Mt. Baw Baw,6311.0
2017,10,Mt. Buller,48862.0
2017,10,Mt. Hotham,33652.0
2017,10,Mt. Stirling,1317.0
2017,10,Perisher,72515.0
2017,10,Selwyn,10099.0
2017,10,Thredbo,55420.0
2017,11,Charlotte Pass,3873.0
2017,11,Falls Creek,41643.0
2017,11,Mt. Baw Baw,5884.0
2017,11,Mt. Buller,45833.0
2017,11,Mt. Hotham,35159.0
2017,11,Mt. Stirling,1452.0
2017,11,Perisher,70718.0
2017,11,Selwyn,10008.0
2017,11,Thredbo,53536.0
2017,12,Charlotte Pass,3634.0
2017,12,Falls Creek,38487.0
2017,12,Mt. Baw Baw,4921.0
2017,12,Mt. Buller,44047.0
2017,12,Mt. Hotham,32732.0
2017,12,Mt. Stirling,936.0
2017,12,Perisher,65364.0
2017,12,Selwyn,9105.0
2017,12,Thredbo,49658.0
2017,13,Charlotte Pass,2853.0
2017,13,Falls Creek,34745.0
2017,13,Mt. Baw Baw,4086.0
2017,13,Mt. Buller,32214.0
2017,13,Mt. Hotham,26326.0
2017,13,Mt. Stirling,897.0
2017,13,Perisher,52565.0
2017,13,Selwyn,7230.0
2017,13,Thredbo,39634.0
2017,14,Charlotte Pass,2669.0
2017,14,Falls Creek,28865.0
2017,14,Mt. Baw Baw,5565.0
2017,14,Mt. Buller,32542.0
2017,14,Mt. Hotham,21960.0
2017,14,Mt. Stirling,1023.0
2017,14,Perisher,48963.0
2017,14,Selwyn,6867.0
2017,14,Thredbo,37173.0
2017,15,Charlotte Pass,1941.0
2017,15,Falls Creek,21846.0
2017,15,Mt. Baw Baw,3409.0
2017,15,Mt. Buller,24402.0
2017,15,Mt. Hotham,14990.0
2017,15,Mt. Stirling,408.0
2017,15,Perisher,34698.0
2017,15,Selwyn,4847.0
2017,15,Thredbo,26630.0
2018,1,Charlotte Pass,825.0
2018,1,Falls Creek,4735.0
2018,1,Mt. Baw Baw,2753.0
2018,1,Mt. Buller,13279.0
2018,1,Mt. Hotham,6271.0
2018,1,Mt. Stirling,192.0
2018,1,Perisher,14866.0
2018,1,Selwyn,2060.0
2018,1,Thredbo,11210.0
2018,2,Charlotte Pass,630.0
2018,2,Falls Creek,3408.0
2018,2,Mt. Baw Baw,2102.0
2018,2,Mt. Buller,11039.0
2018,2,Mt. Hotham,3489.0
2018,2,Mt. Stirling,180.0
2018,2,Perisher,11276.0
2018,2,Selwyn,1591.0
2018,2,Thredbo,8547.0
2018,3,Charlotte Pass,1264.0
2018,3,Falls Creek,8450.0
2018,3,Mt. Baw Baw,5768.0
2018,3,Mt. Buller,19293.0
2018,3,Mt. Hotham,6911.0
2018,3,Mt. Stirling,339.0
2018,3,Perisher,22795.0
2018,3,Selwyn,3095.0
2018,3,Thredbo,17226.0
2018,4,Charlotte Pass,2062.0
2018,4,Falls Creek,16200.0
2018,4,Mt. Baw Baw,7058.0
2018,4,Mt. Buller,27761.0
2018,4,Mt. Hotham,17524.0
2018,4,Mt. Stirling,474.0
2018,4,Perisher,37741.0
2018,4,Selwyn,5357.0
2018,4,Thredbo,28601.0
2018,5,Charlotte Pass,3902.0
2018,5,Falls Creek,32502.0
2018,5,Mt. Baw Baw,11141.0
2018,5,Mt. Buller,54337.0
2018,5,Mt. Hotham,31435.0
2018,5,Mt. Stirling,810.0
2018,5,Perisher,71310.0
2018,5,Selwyn,10213.0
2018,5,Thredbo,54351.0
2018,6,Charlotte Pass,5033.0
2018,6,Falls Creek,40750.0
2018,6,Mt. Baw Baw,18031.0
2018,6,Mt. Buller,66326.0
2018,6,Mt. Hotham,37737.0
2018,6,Mt. Stirling,1086.0
2018,6,Perisher,93226.0
2018,6,Selwyn,12863.0
2018,6,Thredbo,70634.0
2018,7,Charlotte Pass,3344.0
2018,7,Falls Creek,31768.0
2018,7,Mt. Baw Baw,8803.0
2018,7,Mt. Buller,46230.0
2018,7,Mt. Hotham,25157.0
2018,7,Mt. Stirling,1269.0
2018,7,Perisher,61632.0
2018,7,Selwyn,8428.0
2018,7,Thredbo,46287.0
2018,8,Charlotte Pass,3031.0
2018,8,Falls Creek,29814.0
2018,8,Mt. Baw Baw,7966.0
2018,8,Mt. Buller,39057.0
2018,8,Mt. Hotham,24150.0
